# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      34     0.06168     0.09200     0.00000    2.598968644    0.099119720   -2.499848923
     1      34     0.06168     0.24039     0.00000    2.367563864   -0.182642672   -2.550206536
     1      34     0.06168     0.38877     0.00000    2.012776494   -0.328930516   -2.341707011
     1      34     0.06168     0.53716     0.00000    2.178013370   -0.204648098   -2.382661468
     1      34     0.06168    -0.50155     0.00000    2.111455739   -0.262193837   -2.373649576
     1      34     0.06168    -0.35316     0.00000    2.092905672   -0.290700826   -2.383606499
     1      34     0.06168    -0.20477     0.00000    2.487478936   -0.049897717   -2.537376654
     1      34     0.06168    -0.05639     0.00000    2.578091071    0.101909432   -2.476181639
     1      34     0.19019     0.16619     0.00000    2.313282868   -0.282798924   -2.596081792
     1      34     0.19019     0.31458     0.00000    2.120884620   -0.297700096   -2.418584716
     1      34     0.19019     0.46297     0.00000    1.721114785   -1.036062336   -2.757177121
     1      34     0.19019    -0.57574     0.00000    1.400733417   -1.425854886   -2.826588303
     1      34     0.19019    -0.42735     0.00000    1.875368556   -0.851076091   -2.726444647
     1      34     0.19019    -0.27897     0.00000    2.152222194   -0.268668797   -2.420890992
     1      34     0.19019    -0.13058     0.00000    2.308547416   -0.338384773   -2.646932190
     1      34     0.19019     0.01781     0.00000    2.571518901    0.075757105   -2.495761796
     1      34     0.31870     0.24039     0.00000    1.980913344   -0.349986834   -2.330900179
     1      34     0.31870     0.38877     0.00000    1.700862039   -1.044275630   -2.745137669
     1      34     0.31870     0.53716     0.00000    1.250183228   -1.615705970   -2.865889198
     1      34     0.31870    -0.50155     0.00000    1.346357517   -1.523211161   -2.869568678
     1      34     0.31870    -0.35316     0.00000    1.777240201   -0.927095003   -2.704335204
     1      34     0.31870    -0.20477     0.00000    1.967782830   -0.347550634   -2.315333464
     1      34     0.31870    -0.05639     0.00000    2.156328506   -0.302963338   -2.459291844
     1      34     0.31870     0.09200     0.00000    2.139180529   -0.417375289   -2.556555818
     1      34     0.44720     0.31458     0.00000    2.157938048   -0.224196028   -2.382134076
     1      34    -0.58085    -0.13058     0.00000    1.425614508   -1.381846857   -2.807461365
     1      34    -0.58085     0.01781     0.00000    1.391684535   -1.481575862   -2.873260397
     1      34    -0.58085     0.16619     0.00000    1.471931460   -1.269706243   -2.741637703
     1      34     0.44720    -0.27897     0.00000    2.053827751   -0.307336940   -2.361164691
     1      34     0.44720    -0.13058     0.00000    1.830142321   -0.672287035   -2.502429356
     1      34     0.44720     0.01781     0.00000    1.988920090   -0.697920456   -2.686840546
     1      34     0.44720     0.16619     0.00000    2.073628916   -0.313546096   -2.387175012
     1      34    -0.45234    -0.20477     0.00000    2.063425273   -0.303765126   -2.367190399
     1      34    -0.45234    -0.05639     0.00000    1.916900963   -0.786114818   -2.703015781
     1      34    -0.45234     0.09200     0.00000    1.837744858   -0.856201905   -2.693946764
     1      34    -0.45234     0.24039     0.00000    2.025129844   -0.330075659   -2.355205503
     1      34    -0.45234     0.38877     0.00000    1.880540829   -0.727361048   -2.607901878
     1      34     0.57571    -0.05639     0.00000    1.414602546   -1.423994407   -2.838596953
     1      34     0.57571     0.09200     0.00000    1.421521767   -1.401406234   -2.822928001
     1      34    -0.45234    -0.35316     0.00000    2.185910375   -0.271560602   -2.457470977
     1      34    -0.32384    -0.13058     0.00000    2.095793791   -0.262940929   -2.358734719
     1      34    -0.32384     0.01781     0.00000    2.185014514   -0.233109776   -2.418124289
     1      34    -0.32384     0.16619     0.00000    2.004522265   -0.312897750   -2.317420015
     1      34    -0.32384     0.31458     0.00000    1.832702389   -0.677142458   -2.509844847
     1      34    -0.32384     0.46297     0.00000    1.461209152   -1.378308378   -2.839517531
     1      34    -0.32384    -0.57574     0.00000    1.185188216   -1.673001366   -2.858189582
     1      34    -0.32384    -0.42735     0.00000    1.575727298   -1.227953374   -2.803680671
     1      34    -0.32384    -0.27897     0.00000    2.023102616   -0.345880360   -2.368982976
     1      34    -0.19533    -0.05639     0.00000    2.486945102   -0.079556677   -2.566501779
     1      34    -0.19533     0.09200     0.00000    2.364879449   -0.270516405   -2.635395854
     1      34    -0.19533     0.24039     0.00000    2.203145402   -0.249392519   -2.452537921
     1      34    -0.19533     0.38877     0.00000    2.038729921   -0.623006085   -2.661736007
     1      34    -0.19533     0.53716     0.00000    1.458070015   -1.347482501   -2.805552516
     1      34    -0.19533    -0.50155     0.00000    1.565750990   -1.222959983   -2.788710973
     1      34    -0.19533    -0.35316     0.00000    2.123199767   -0.298496676   -2.421696442
     1      34    -0.19533    -0.20477     0.00000    2.263731995   -0.250269089   -2.514001084
     1      34    -0.06682     0.01781     0.00000    2.572649000    0.113298574   -2.459350425
     1      34    -0.06682     0.16619     0.00000    2.576623662    0.057195259   -2.519428403
     1      34    -0.06682     0.31458     0.00000    2.192227588   -0.365607977   -2.557835565
     1      34    -0.06682     0.46297     0.00000    2.050789255   -0.311443007   -2.362232263
     1      34    -0.06682    -0.57574     0.00000    2.229980919   -0.160196129   -2.390177048
     1      34    -0.06682    -0.42735     0.00000    2.009107672   -0.340021424   -2.349129096
     1      34    -0.06682    -0.27897     0.00000    2.221812094   -0.353555343   -2.575367437
     1      34    -0.06682    -0.13058     0.00000    2.606388078    0.088023526   -2.518364551
     1      35     0.06168     0.09200     0.00000    2.841219076    0.672017632   -2.169201444
     1      35     0.06168     0.24039     0.00000    2.562958758    0.152158376   -2.410800381
     1      35     0.06168     0.38877     0.00000    2.208573134   -0.215734333   -2.424307467
     1      35     0.06168     0.53716     0.00000    2.373137764   -0.077458111   -2.450595874
