 -------  Norm of dvv matrices : Spins =            1  -------
           k-point           ik_co    v   dist    |dvv|^2      
---------------------------------------------------------------
 (  0.059 ,  0.046 ,  0.000 )    1    1  0.108   0.905749
 (  0.059 ,  0.046 ,  0.000 )    1    2  0.108   0.953280
 (  0.059 ,  0.046 ,  0.000 )    1    3  0.108   0.899489
 (  0.059 ,  0.171 ,  0.000 )    2    1  0.169   0.768140
 (  0.059 ,  0.171 ,  0.000 )    2    2  0.169   0.785537
 (  0.059 ,  0.171 ,  0.000 )    2    3  0.169   0.782261
 (  0.059 ,  0.296 ,  0.000 )    2    1  0.061   0.963485
 (  0.059 ,  0.296 ,  0.000 )    2    2  0.061   0.968494
 (  0.059 ,  0.296 ,  0.000 )    2    3  0.061   0.974096
 (  0.059 ,  0.421 ,  0.000 )    2    1  0.152   0.874644
 (  0.059 ,  0.421 ,  0.000 )    2    2  0.152   0.816850
 (  0.059 ,  0.421 ,  0.000 )    2    3  0.152   0.859015
 (  0.059 , -0.454 ,  0.000 )    5    1  0.124   0.915572
 (  0.059 , -0.454 ,  0.000 )    5    2  0.124   0.869650
 (  0.059 , -0.454 ,  0.000 )    5    3  0.124   0.910544
 (  0.059 , -0.329 ,  0.000 )    5    1  0.073   0.948971
 (  0.059 , -0.329 ,  0.000 )    5    2  0.073   0.956604
 (  0.059 , -0.329 ,  0.000 )    5    3  0.073   0.956602
 (  0.059 , -0.204 ,  0.000 )    5    1  0.198   0.695168
 (  0.059 , -0.204 ,  0.000 )    5    2  0.198   0.703747
 (  0.059 , -0.204 ,  0.000 )    5    3  0.198   0.684254
 (  0.059 , -0.079 ,  0.000 )    1    1  0.084   0.944718
 (  0.059 , -0.079 ,  0.000 )    1    2  0.084   0.974350
 (  0.059 , -0.079 ,  0.000 )    1    3  0.084   0.930979
 (  0.184 ,  0.046 ,  0.000 )    7    1  0.157   0.794601
 (  0.184 ,  0.046 ,  0.000 )    7    2  0.157   0.815193
 (  0.184 ,  0.046 ,  0.000 )    7    3  0.157   0.802259
 (  0.184 ,  0.171 ,  0.000 )    7    1  0.192   0.701663
 (  0.184 ,  0.171 ,  0.000 )    7    2  0.192   0.692393
 (  0.184 ,  0.171 ,  0.000 )    7    3  0.192   0.719805
 (  0.184 ,  0.296 ,  0.000 )    2    1  0.200   0.752525
 (  0.184 ,  0.296 ,  0.000 )    2    2  0.200   0.791667
 (  0.184 ,  0.296 ,  0.000 )    2    3  0.200   0.802539
 (  0.184 , -0.579 ,  0.000 )    8    1  0.155   0.787782
 (  0.184 , -0.579 ,  0.000 )    8    2  0.155   0.720840
 (  0.184 , -0.579 ,  0.000 )    8    3  0.155   0.883350
 (  0.184 , -0.454 ,  0.000 )    5    1  0.192   0.743446
 (  0.184 , -0.454 ,  0.000 )    5    2  0.192   0.781394
 (  0.184 , -0.454 ,  0.000 )    5    3  0.192   0.784508
 (  0.184 , -0.329 ,  0.000 )    3    1  0.175   0.752866
 (  0.184 , -0.329 ,  0.000 )    3    2  0.175   0.742652
 (  0.184 , -0.329 ,  0.000 )    3    3  0.175   0.767292
 (  0.184 , -0.204 ,  0.000 )    3    1  0.167   0.772885
 (  0.184 , -0.204 ,  0.000 )    3    2  0.167   0.795266
 (  0.184 , -0.204 ,  0.000 )    3    3  0.167   0.732045
 (  0.184 , -0.079 ,  0.000 )    1    1  0.190   0.763067
 (  0.184 , -0.079 ,  0.000 )    1    2  0.190   0.816308
 (  0.184 , -0.079 ,  0.000 )    1    3  0.190   0.784014
 (  0.309 ,  0.046 ,  0.000 )    7    1  0.048   0.977221
 (  0.309 ,  0.046 ,  0.000 )    7    2  0.048   0.980565
 (  0.309 ,  0.046 ,  0.000 )    7    3  0.048   0.984841
 (  0.309 ,  0.171 ,  0.000 )    7    1  0.190   0.776721
 (  0.309 ,  0.171 ,  0.000 )    7    2  0.190   0.813776
 (  0.309 ,  0.171 ,  0.000 )    7    3  0.190   0.827201
 (  0.309 ,  0.296 ,  0.000 )    8    1  0.064   0.945830
 (  0.309 ,  0.296 ,  0.000 )    8    2  0.064   0.914536
 (  0.309 ,  0.296 ,  0.000 )    8    3  0.064   0.992546
 (  0.309 , -0.579 ,  0.000 )    8    1  0.093   0.891972
 (  0.309 , -0.579 ,  0.000 )    8    2  0.093   0.843674
 (  0.309 , -0.579 ,  0.000 )    8    3  0.093   0.979889
 (  0.309 , -0.454 ,  0.000 )    3    1  0.160   0.831950
 (  0.309 , -0.454 ,  0.000 )    3    2  0.160   0.863586
 (  0.309 , -0.454 ,  0.000 )    3    3  0.160   0.876600
 (  0.309 , -0.329 ,  0.000 )    3    1  0.027   0.994502
 (  0.309 , -0.329 ,  0.000 )    3    2  0.027   0.995395
 (  0.309 , -0.329 ,  0.000 )    3    3  0.027   0.995326
 (  0.309 , -0.204 ,  0.000 )    3    1  0.142   0.825244
 (  0.309 , -0.204 ,  0.000 )    3    2  0.142   0.825450
 (  0.309 , -0.204 ,  0.000 )    3    3  0.142   0.838395
 (  0.309 , -0.079 ,  0.000 )    7    1  0.111   0.897571
 (  0.309 , -0.079 ,  0.000 )    7    2  0.111   0.903287
 (  0.309 , -0.079 ,  0.000 )    7    3  0.111   0.905683
 (  0.434 ,  0.046 ,  0.000 )    7    1  0.154   0.870408
 (  0.434 ,  0.046 ,  0.000 )    7    2  0.154   0.817609
 (  0.434 ,  0.046 ,  0.000 )    7    3  0.154   0.849787
 ( -0.566 ,  0.171 ,  0.000 )    8    1  0.168   0.762215
 ( -0.566 ,  0.171 ,  0.000 )    8    2  0.168   0.694226
 ( -0.566 ,  0.171 ,  0.000 )    8    3  0.168   0.863552
 ( -0.566 ,  0.296 ,  0.000 )    8    1  0.104   0.874541
 ( -0.566 ,  0.296 ,  0.000 )    8    2  0.104   0.823025
 ( -0.566 ,  0.296 ,  0.000 )    8    3  0.104   0.978064
 ( -0.566 ,  0.421 ,  0.000 )    8    1  0.194   0.702041
 ( -0.566 ,  0.421 ,  0.000 )    8    2  0.194   0.633059
 ( -0.566 ,  0.421 ,  0.000 )    8    3  0.194   0.309669
 (  0.434 , -0.454 ,  0.000 )    3    1  0.133   0.902595
 (  0.434 , -0.454 ,  0.000 )    3    2  0.133   0.871774
 (  0.434 , -0.454 ,  0.000 )    3    3  0.133   0.871923
 (  0.434 , -0.329 ,  0.000 )    3    1  0.122   0.890898
 (  0.434 , -0.329 ,  0.000 )    3    2  0.122   0.913255
 (  0.434 , -0.329 ,  0.000 )    3    3  0.122   0.854282
