# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      35     0.00000     0.00000     0.00000    2.828430483    2.757225016   -0.071205467
     1      35     0.00000     0.02473     0.00000    2.828480161    2.757279318   -0.071200843
     1      35     0.00000     0.04946     0.00000    2.828222873    2.757037443   -0.071185430
     1      35     0.00000     0.07419     0.00000    2.826424110    2.755227497   -0.071196613
     1      35     0.00000     0.09892     0.00000    2.820975632    2.749762872   -0.071212760
     1      35     0.00000     0.12366     0.00000    2.808837958    2.735926963   -0.072910995
     1      35     0.00000     0.14839     0.00000    2.786033197    2.701506813   -0.084526384
     1      35     0.00000     0.17312     0.00000    2.747768591    2.651272543   -0.096496047
     1      35     0.00000     0.19785     0.00000    2.688882860    2.590430006   -0.098452854
     1      35     0.00000     0.22258     0.00000    2.605576270    2.507628421   -0.097947849
     1      35     0.00000     0.24731     0.00000    2.499424214    2.403776592   -0.095647622
     1      35     0.00000     0.27204     0.00000    2.379425729    2.285531894   -0.093893835
     1      35     0.00000     0.29677     0.00000    2.261682679    1.826451876   -0.435230803
     1      35     0.00000     0.32151     0.00000    2.366648558    1.916726302   -0.449922256
     1      35     0.00000     0.34624     0.00000    2.427265047    2.299555798   -0.127709248
     1      35     0.00000     0.37097     0.00000    2.390095144    2.232789809   -0.157305334
     1      35     0.00000     0.39570     0.00000    2.379509948    2.217784621   -0.161725327
     1      35     0.00000     0.42043     0.00000    2.395240288    2.223317331   -0.171922957
     1      35     0.00000     0.44516     0.00000    2.433425657    2.193219808   -0.240205849
     1      35     0.00000     0.46989     0.00000    2.487219132    2.178730391   -0.308488741
     1      35     0.00000     0.49462     0.00000    2.547973483    2.229287112   -0.318686371
     1      35     0.00000     0.51935     0.00000    2.606626762    2.282902300   -0.323724461
     1      35     0.00000     0.54409     0.00000    2.654973480    2.297514177   -0.357459303
     1      35     0.00000     0.56882     0.00000    2.686634319    2.295440174   -0.391194146
     1      35     0.00000     0.59355     0.00000    2.697634503    2.301402267   -0.396232236
     1      35     0.00000     0.61828     0.00000    2.686634319    2.295440195   -0.391194124
     1      35     0.00000     0.64301     0.00000    2.654973480    2.297514344   -0.357459136
     1      35     0.00000     0.66774     0.00000    2.606626762    2.282902612   -0.323724150
     1      35     0.00000     0.69247     0.00000    2.547973483    2.229287445   -0.318686038
     1      35     0.00000     0.71720     0.00000    2.487219132    2.178730686   -0.308488446
     1      35     0.00000     0.74194     0.00000    2.433425657    2.193219850   -0.240205807
     1      35     0.00000     0.76667     0.00000    2.395240288    2.223317120   -0.171923168
     1      35     0.00000     0.79140     0.00000    2.379509948    2.217784372   -0.161725576
     1      35     0.00000     0.81613     0.00000    2.390095144    2.232789438   -0.157305706
     1      35     0.00000     0.84086     0.00000    2.427265047    2.299554606   -0.127710440
     1      35     0.00000     0.86559     0.00000    2.366648558    1.916727142   -0.449921416
     1      35     0.00000     0.89032     0.00000    2.261682679    1.826452709   -0.435229970
     1      35     0.00000     0.91505     0.00000    2.379425729    2.285529921   -0.093895807
     1      35     0.00000     0.93979     0.00000    2.499424214    2.403776060   -0.095648154
     1      35     0.00000     0.96452     0.00000    2.605576270    2.507629792   -0.097946478
     1      35     0.00000     0.98925     0.00000    2.688882860    2.590431798   -0.098451062
     1      35     0.00000     1.01398     0.00000    2.747768591    2.651274248   -0.096494343
     1      35     0.00000     1.03871     0.00000    2.786033197    2.701508588   -0.084524609
     1      35     0.00000     1.06344     0.00000    2.808837958    2.735928989   -0.072908969
     1      35     0.00000     1.08817     0.00000    2.820975632    2.749764950   -0.071210682
     1      35     0.00000     1.11290     0.00000    2.826424110    2.755229438   -0.071194672
     1      35     0.00000     1.13763     0.00000    2.828222873    2.757038479   -0.071184394
     1      35     0.00000     1.16237     0.00000    2.828480161    2.757279452   -0.071200708
     1      35     0.02142     0.03710     0.00000    2.828380308    2.757186746   -0.071193562
