# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.00000     0.00000     0.00000  -71.081963832  -76.805612822   -5.723648990
     1       1     0.00000     0.01484     0.00000  -71.081943646  -76.805353001   -5.723409355
     1       1     0.00000     0.02968     0.00000  -71.081883213  -76.804573996   -5.722690782
     1       1     0.00000     0.04452     0.00000  -71.081782905  -76.803299450   -5.721516545
     1       1     0.00000     0.05935     0.00000  -71.081643338  -76.801739872   -5.720096533
     1       1     0.00000     0.07419     0.00000  -71.081465369  -76.800441473   -5.718976104
     1       1     0.00000     0.08903     0.00000  -71.081250088  -76.800110747   -5.718860659
     1       1     0.00000     0.10387     0.00000  -71.080998824  -76.801347783   -5.720348959
     1       1     0.00000     0.11871     0.00000  -71.080713116  -76.804513215   -5.723800099
     1       1     0.00000     0.13355     0.00000  -71.080394720  -76.809734647   -5.729339927
     1       1     0.00000     0.14839     0.00000  -71.080045596  -76.816981055   -5.736935459
     1       1     0.00000     0.16323     0.00000  -71.079667888  -76.826142776   -5.746474888
     1       1     0.00000     0.17806     0.00000  -71.079263917  -76.837086376   -5.757822459
     1       1     0.00000     0.19290     0.00000  -71.078836172  -76.849677681   -5.770841509
     1       1     0.00000     0.20774     0.00000  -71.078387281  -76.863776397   -5.785389116
     1       1     0.00000     0.22258     0.00000  -71.077920009  -76.879207230   -5.801287222
     1       1     0.00000     0.23742     0.00000  -71.077437230  -76.895711179   -5.818273949
     1       1     0.00000     0.25226     0.00000  -71.076941917  -76.912882022   -5.835940106
     1       1     0.00000     0.26710     0.00000  -71.076437119  -76.930100466   -5.853663347
     1       1     0.00000     0.28194     0.00000  -71.075925950  -76.946495541   -5.870569591
     1       1     0.00000     0.29677     0.00000  -71.075411555  -76.960987965   -5.885576410
     1       1     0.00000     0.31161     0.00000  -71.074897111  -76.972487504   -5.897590393
     1       1     0.00000     0.32645     0.00000  -71.074385786  -76.980282553   -5.905896767
     1       1     0.00000     0.34129     0.00000  -71.073880733  -76.984509126   -5.910628393
     1       1     0.00000     0.35613     0.00000  -71.073385070  -76.986286780   -5.912901709
     1       1     0.00000     0.37097     0.00000  -71.072901858  -76.986965089   -5.914063231
     1       1     0.00000     0.38581     0.00000  -71.072434076  -76.987099519   -5.914665443
     1       1     0.00000     0.40065     0.00000  -71.071984615  -76.986736119   -5.914751505
     1       1     0.00000     0.41548     0.00000  -71.071556253  -76.985877075   -5.914320822
     1       1     0.00000     0.43032     0.00000  -71.071151633  -76.984520061   -5.913368428
     1       1     0.00000     0.44516     0.00000  -71.070773258  -76.982543009   -5.911769751
     1       1     0.00000     0.46000     0.00000  -71.070423465  -76.979521191   -5.909097726
     1       1     0.00000     0.47484     0.00000  -71.070104421  -76.975098973   -5.904994552
     1       1     0.00000     0.48968     0.00000  -71.069818096  -76.969392208   -5.899574112
     1       1     0.00000     0.50452     0.00000  -71.069566261  -76.962926237   -5.893359977
     1       1     0.00000     0.51935     0.00000  -71.069350473  -76.956375627   -5.887025154
     1       1     0.00000     0.53419     0.00000  -71.069172069  -76.950355204   -5.881183135
     1       1     0.00000     0.54903     0.00000  -71.069032152  -76.945326870   -5.876294718
     1       1     0.00000     0.56387     0.00000  -71.068931588  -76.941592831   -5.872661242
     1       1     0.00000     0.57871     0.00000  -71.068871000  -76.939328236   -5.870457235
     1       1     0.00000     0.59355     0.00000  -71.068850762  -76.938619596   -5.869768833
     1       1     0.02285     0.59355     0.00000  -71.068834836  -76.938012769   -5.869177933
     1       1     0.04569     0.59355     0.00000  -71.068787602  -76.936205637   -5.867418035
     1       1     0.06854     0.59355     0.00000  -71.068710673  -76.934043344   -5.865332671
     1       1     0.09138     0.59355     0.00000  -71.068606705  -76.935073467   -5.866466762
     1       1     0.11423     0.59355     0.00000  -71.068479330  -76.942960055   -5.874480725
     1       1     0.13707     0.59355     0.00000  -71.068333089  -76.957800598   -5.889467509
     1       1     0.15992     0.59355     0.00000  -71.068173323  -76.976608873   -5.908435550
     1       1     0.18277     0.59355     0.00000  -71.068006068  -76.995655873   -5.927649805
     1       1     0.20561     0.59355     0.00000  -71.067837914  -77.012021959   -5.944184045
     1       1     0.22846     0.59355     0.00000  -71.067675867  -77.024210021   -5.956534154
     1       1     0.25130     0.59355     0.00000  -71.067527201  -77.032224337   -5.964697136
     1       1     0.27415     0.59355     0.00000  -71.067399276  -77.037164450   -5.969765173
     1       1     0.29699     0.59355     0.00000  -71.067299394  -77.040280831   -5.972981436
