# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.21707093E-06     -0.57900596E-06     -0.25042012E-03     -0.34227124E-02
       2     -0.36462464E-06     -0.57900596E-06     -0.47601885E-03     -0.34227124E-02
       3     -0.38868628E-06     -0.57900596E-06     -0.67236930E-03     -0.34227124E-02
       4     -0.46052726E-06     -0.57900596E-06     -0.86116883E-03     -0.34227124E-02
       5     -0.48325205E-06     -0.57900596E-06     -0.97999051E-03     -0.34227124E-02
       6     -0.50358613E-06     -0.57900596E-06     -0.10999489E-02     -0.34227124E-02
       7     -0.51367234E-06     -0.57900596E-06     -0.12417858E-02     -0.34227124E-02
       8     -0.52007006E-06     -0.57900596E-06     -0.13804910E-02     -0.34227124E-02
       9     -0.53127947E-06     -0.57900596E-06     -0.14238113E-02     -0.34227124E-02
      10     -0.53438889E-06     -0.57900596E-06     -0.14466685E-02     -0.34227124E-02
      11     -0.53700450E-06     -0.57900596E-06     -0.14719935E-02     -0.34227124E-02
      12     -0.54305439E-06     -0.57900596E-06     -0.15119056E-02     -0.34227124E-02
      13     -0.55121959E-06     -0.57900596E-06     -0.15426621E-02     -0.34227124E-02
      14     -0.55308026E-06     -0.57900596E-06     -0.15626753E-02     -0.34227124E-02
      15     -0.55793977E-06     -0.57900596E-06     -0.15849119E-02     -0.34227124E-02
      16     -0.55995734E-06     -0.57900596E-06     -0.16115507E-02     -0.34227124E-02
      17     -0.56273986E-06     -0.57900596E-06     -0.16411780E-02     -0.34227124E-02
      18     -0.56486303E-06     -0.57900596E-06     -0.16691028E-02     -0.34227124E-02
      19     -0.56653740E-06     -0.57900596E-06     -0.17030343E-02     -0.34227124E-02
      20     -0.56781042E-06     -0.57900596E-06     -0.17317364E-02     -0.34227124E-02
      21     -0.56888053E-06     -0.57900596E-06     -0.17601812E-02     -0.34227124E-02
      22     -0.56946164E-06     -0.57900596E-06     -0.17976104E-02     -0.34227124E-02
      23     -0.57007313E-06     -0.57900596E-06     -0.18289103E-02     -0.34227124E-02
      24     -0.57054236E-06     -0.57900596E-06     -0.18526172E-02     -0.34227124E-02
      25     -0.57118510E-06     -0.57900596E-06     -0.18745434E-02     -0.34227124E-02
      26     -0.57188682E-06     -0.57900596E-06     -0.19017454E-02     -0.34227124E-02
      27     -0.57204637E-06     -0.57900596E-06     -0.19210264E-02     -0.34227124E-02
      28     -0.57226088E-06     -0.57900596E-06     -0.19460993E-02     -0.34227124E-02
      29     -0.57309600E-06     -0.57900596E-06     -0.19745007E-02     -0.34227124E-02
      30     -0.57349211E-06     -0.57900596E-06     -0.19882410E-02     -0.34227124E-02
      31     -0.57375207E-06     -0.57900596E-06     -0.20035327E-02     -0.34227124E-02
      32     -0.57420291E-06     -0.57900596E-06     -0.20324926E-02     -0.34227124E-02
      33     -0.57440237E-06     -0.57900596E-06     -0.20475880E-02     -0.34227124E-02
      34     -0.57455139E-06     -0.57900596E-06     -0.20687918E-02     -0.34227124E-02
      35     -0.57484578E-06     -0.57900596E-06     -0.20938127E-02     -0.34227124E-02
      36     -0.57513263E-06     -0.57900596E-06     -0.21135203E-02     -0.34227124E-02
      37     -0.57524401E-06     -0.57900596E-06     -0.21380732E-02     -0.34227124E-02
      38     -0.57543360E-06     -0.57900596E-06     -0.21578380E-02     -0.34227124E-02
      39     -0.57552139E-06     -0.57900596E-06     -0.21720793E-02     -0.34227124E-02
      40     -0.57588506E-06     -0.57900596E-06     -0.21936088E-02     -0.34227124E-02
      41     -0.57599001E-06     -0.57900596E-06     -0.22128826E-02     -0.34227124E-02
      42     -0.57612994E-06     -0.57900596E-06     -0.22265515E-02     -0.34227124E-02
      43     -0.57628640E-06     -0.57900596E-06     -0.22618713E-02     -0.34227124E-02
      44     -0.57634193E-06     -0.57900596E-06     -0.22783842E-02     -0.34227124E-02
      45     -0.57646749E-06     -0.57900596E-06     -0.23008324E-02     -0.34227124E-02
      46     -0.57656357E-06     -0.57900596E-06     -0.23216397E-02     -0.34227124E-02
      47     -0.57663186E-06     -0.57900596E-06     -0.23362689E-02     -0.34227124E-02
      48     -0.57671250E-06     -0.57900596E-06     -0.23512209E-02     -0.34227124E-02
      49     -0.57677620E-06     -0.57900596E-06     -0.23704041E-02     -0.34227124E-02
      50     -0.57679197E-06     -0.57900596E-06     -0.23832913E-02     -0.34227124E-02
      51     -0.57681308E-06     -0.57900596E-06     -0.23983718E-02     -0.34227124E-02
      52     -0.57684518E-06     -0.57900596E-06     -0.24145938E-02     -0.34227124E-02
      53     -0.57686470E-06     -0.57900596E-06     -0.24300300E-02     -0.34227124E-02
      54     -0.57688788E-06     -0.57900596E-06     -0.24374110E-02     -0.34227124E-02
      55     -0.57693299E-06     -0.57900596E-06     -0.24487316E-02     -0.34227124E-02
      56     -0.57695365E-06     -0.57900596E-06     -0.24652597E-02     -0.34227124E-02
      57     -0.57697657E-06     -0.57900596E-06     -0.24820717E-02     -0.34227124E-02
      58     -0.57702158E-06     -0.57900596E-06     -0.24964447E-02     -0.34227124E-02
      59     -0.57704470E-06     -0.57900596E-06     -0.25118567E-02     -0.34227124E-02
      60     -0.57707172E-06     -0.57900596E-06     -0.25298468E-02     -0.34227124E-02
      61     -0.57711584E-06     -0.57900596E-06     -0.25415512E-02     -0.34227124E-02
      62     -0.57714359E-06     -0.57900596E-06     -0.25547814E-02     -0.34227124E-02
      63     -0.57716985E-06     -0.57900596E-06     -0.25716565E-02     -0.34227124E-02

# q=  0.00000000E+00  0.33333333E+00  0.00000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.33858257E-02     -0.21858269E-01     -0.20731725E-03     -0.32208121E-02
       2     -0.62104098E-02     -0.21858269E-01     -0.38041203E-03     -0.32208121E-02
       3     -0.86902942E-02     -0.21858269E-01     -0.55123385E-03     -0.32208121E-02
       4     -0.11517640E-01     -0.21858269E-01     -0.71604073E-03     -0.32208121E-02
       5     -0.13080167E-01     -0.21858269E-01     -0.83653896E-03     -0.32208121E-02
       6     -0.14488520E-01     -0.21858269E-01     -0.95867368E-03     -0.32208121E-02
       7     -0.15637335E-01     -0.21858269E-01     -0.10782645E-02     -0.32208121E-02
       8     -0.16757850E-01     -0.21858269E-01     -0.12085709E-02     -0.32208121E-02
       9     -0.17172044E-01     -0.21858269E-01     -0.12530677E-02     -0.32208121E-02
      10     -0.17436025E-01     -0.21858269E-01     -0.12778838E-02     -0.32208121E-02
      11     -0.17722452E-01     -0.21858269E-01     -0.13052967E-02     -0.32208121E-02
      12     -0.18043321E-01     -0.21858269E-01     -0.13466736E-02     -0.32208121E-02
      13     -0.18394271E-01     -0.21858269E-01     -0.13781541E-02     -0.32208121E-02
      14     -0.18538025E-01     -0.21858269E-01     -0.13991239E-02     -0.32208121E-02
      15     -0.18844211E-01     -0.21858269E-01     -0.14213279E-02     -0.32208121E-02
      16     -0.19016334E-01     -0.21858269E-01     -0.14511846E-02     -0.32208121E-02
      17     -0.19220420E-01     -0.21858269E-01     -0.14846303E-02     -0.32208121E-02
      18     -0.19352924E-01     -0.21858269E-01     -0.15148652E-02     -0.32208121E-02
      19     -0.19507229E-01     -0.21858269E-01     -0.15512783E-02     -0.32208121E-02
      20     -0.19632799E-01     -0.21858269E-01     -0.15788390E-02     -0.32208121E-02
      21     -0.19734715E-01     -0.21858269E-01     -0.16073818E-02     -0.32208121E-02
      22     -0.19903453E-01     -0.21858269E-01     -0.16410416E-02     -0.32208121E-02
      23     -0.20025434E-01     -0.21858269E-01     -0.16706295E-02     -0.32208121E-02
      24     -0.20125802E-01     -0.21858269E-01     -0.16957141E-02     -0.32208121E-02
      25     -0.20219458E-01     -0.21858269E-01     -0.17169397E-02     -0.32208121E-02
      26     -0.20354761E-01     -0.21858269E-01     -0.17420228E-02     -0.32208121E-02
      27     -0.20394108E-01     -0.21858269E-01     -0.17601072E-02     -0.32208121E-02
      28     -0.20448955E-01     -0.21858269E-01     -0.17849174E-02     -0.32208121E-02
      29     -0.20592750E-01     -0.21858269E-01     -0.18106551E-02     -0.32208121E-02
      30     -0.20656511E-01     -0.21858269E-01     -0.18247151E-02     -0.32208121E-02
