# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.05830933E+01  -1.02572254E+01   3.25867860E-01
# Error est. for CH(vbm) CH(cbm) diff =   7.95308758E-01   8.95153800E-01   9.98450412E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -1.21824740E-02  -1.01967622E-02   1.98571178E-03
      2  -5.19758303E-02  -1.03554695E-02   4.16203609E-02
      3  -5.27951483E-02  -1.05870152E-02   4.22081331E-02
      4  -5.42168415E-02  -1.07333331E-02   4.34835084E-02
      5  -5.42093962E-02  -1.07393523E-02   4.34700440E-02
      6  -5.44226021E-02  -1.07431906E-02   4.36794114E-02
      7  -6.05329321E-02  -1.08279474E-02   4.97049847E-02
      8  -8.16331044E-02  -1.08910829E-02   7.07420215E-02
      9  -8.20396335E-02  -1.08912957E-02   7.11483379E-02
     10  -8.31972355E-02  -1.08920123E-02   7.23052232E-02
     11  -1.00954961E-01  -1.09490777E-02   9.00058837E-02
     12  -1.02527978E-01  -1.09508493E-02   9.15771290E-02
     13  -2.06458138E-01  -2.97404170E-01  -9.09460318E-02
     14  -4.60156498E-01  -6.59177860E-01  -1.99021362E-01
     15  -1.03265482E+00  -8.08787844E-01   2.23866977E-01
     16  -1.25941596E+00  -8.09752718E-01   4.49663244E-01
     17  -1.64457620E+00  -8.10632902E-01   8.33943297E-01
     18  -1.73152273E+00  -8.11558786E-01   9.19963940E-01
     19  -1.83688422E+00  -1.05456757E+00   7.82316654E-01
     20  -1.92852866E+00  -1.23440485E+00   6.94123806E-01
     21  -2.01939614E+00  -1.33621826E+00   6.83177876E-01
     22  -2.10283409E+00  -1.35471574E+00   7.48118352E-01
     23  -2.29567973E+00  -1.54316291E+00   7.52516820E-01
     24  -2.41369507E+00  -1.79809825E+00   6.15596822E-01
     25  -2.50495334E+00  -2.03409235E+00   4.70860987E-01
     26  -2.61189684E+00  -2.28422519E+00   3.27671655E-01
     27  -2.74771385E+00  -2.41462395E+00   3.33089900E-01
     28  -2.83044144E+00  -2.75030101E+00   8.01404306E-02
     29  -2.93939968E+00  -2.98967097E+00  -5.02712833E-02
     30  -3.02546354E+00  -3.13945179E+00  -1.13988249E-01
     31  -3.17520391E+00  -3.29843051E+00  -1.23226605E-01
     32  -3.35888108E+00  -3.46102119E+00  -1.02140110E-01
     33  -3.56083822E+00  -3.52620145E+00   3.46367690E-02
     34  -4.00511133E+00  -3.54958023E+00   4.55531097E-01
     35  -4.66526100E+00  -3.59684829E+00   1.06841272E+00
     36  -6.21166919E+00  -3.60832621E+00   2.60334298E+00
     37  -6.61167075E+00  -4.22878047E+00   2.38289028E+00
     38  -6.89954663E+00  -4.73711899E+00   2.16242764E+00
