# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.08829896E+01  -1.10881441E+01  -2.05154432E-01
# Error est. for CH(vbm) CH(cbm) diff =   3.17744257E-01   3.19011315E-01   1.26705830E-03
# 1/N extrap for CH`(vbm) CH`(cbm) diff =  -1.05346217E+01  -1.04487122E+01   8.59095324E-02
# Error est. for CH`(vbm) CH`(cbm) diff =   1.16340805E+00   9.98219427E-01  -1.65188624E-01
#    Nb          CH(vbm)          CH(cbm)             diff         CH`(vbm)         CH`(cbm)            diff`
      1  -5.76241969E+00  -5.83395615E+00  -7.15364624E-02  -2.01359799E-02  -4.53047566E-02  -2.51687767E-02
      2  -5.78671544E+00  -5.83405703E+00  -4.73415812E-02  -6.59429113E-02  -4.54756433E-02   2.04672680E-02
      3  -5.78670773E+00  -5.83399892E+00  -4.72911896E-02  -6.62779752E-02  -4.54849195E-02   2.07930558E-02
      4  -5.78644533E+00  -5.83411821E+00  -4.76728789E-02  -6.61945577E-02  -4.56313547E-02   2.05632030E-02
      5  -5.78755055E+00  -5.83389364E+00  -4.63430917E-02  -6.75318862E-02  -4.54598023E-02   2.20720839E-02
      6  -5.78775086E+00  -5.83389592E+00  -4.61450592E-02  -6.77955628E-02  -4.54635858E-02   2.23319770E-02
      7  -5.77344158E+00  -5.83391327E+00  -6.04716862E-02  -6.09758705E-02  -4.55152281E-02   1.54606424E-02
      8  -5.81465488E+00  -5.83389609E+00  -1.92412088E-02  -1.07968876E-01  -4.55310995E-02   6.24377761E-02
      9  -5.81307775E+00  -5.83389383E+00  -2.08160867E-02  -1.07617180E-01  -4.55328749E-02   6.20843055E-02
     10  -5.82135697E+00  -5.83390427E+00  -1.25473054E-02  -1.17177543E-01  -4.55490404E-02   7.16285029E-02
     11  -5.81322317E+00  -5.83388878E+00  -2.06656037E-02  -1.14905155E-01  -4.55516958E-02   6.93534593E-02
     12  -5.80978219E+00  -5.83388547E+00  -2.41032850E-02  -1.13647701E-01  -4.55545123E-02   6.80931886E-02
     13  -5.57116384E+00  -6.05039654E+00  -4.79232694E-01   8.87679903E-02  -3.04525528E-01  -3.93293518E-01
