# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.11203177E-06     -0.43089425E-06     -0.24065417E-03     -0.57978866E-02
       2     -0.20636750E-06     -0.43089425E-06     -0.46819411E-03     -0.57978866E-02
       3     -0.24740812E-06     -0.43089425E-06     -0.65673317E-03     -0.57978866E-02
       4     -0.28527071E-06     -0.43089425E-06     -0.83554415E-03     -0.57978866E-02
       5     -0.32755789E-06     -0.43089425E-06     -0.97209449E-03     -0.57978866E-02
       6     -0.35771156E-06     -0.43089425E-06     -0.11067289E-02     -0.57978866E-02
       7     -0.36941474E-06     -0.43089425E-06     -0.12347503E-02     -0.57978866E-02
       8     -0.37979515E-06     -0.43089425E-06     -0.13548955E-02     -0.57978866E-02
       9     -0.38636365E-06     -0.43089425E-06     -0.13933928E-02     -0.57978866E-02
      10     -0.39117232E-06     -0.43089425E-06     -0.14248222E-02     -0.57978866E-02
      11     -0.39492577E-06     -0.43089425E-06     -0.14554226E-02     -0.57978866E-02
      12     -0.39804248E-06     -0.43089425E-06     -0.14841981E-02     -0.57978866E-02
      13     -0.40266026E-06     -0.43089425E-06     -0.15167104E-02     -0.57978866E-02
      14     -0.40550107E-06     -0.43089425E-06     -0.15449486E-02     -0.57978866E-02
      15     -0.40820583E-06     -0.43089425E-06     -0.15698920E-02     -0.57978866E-02
      16     -0.41065683E-06     -0.43089425E-06     -0.15960261E-02     -0.57978866E-02
      17     -0.41290980E-06     -0.43089425E-06     -0.16215454E-02     -0.57978866E-02
      18     -0.41459652E-06     -0.43089425E-06     -0.16481265E-02     -0.57978866E-02
      19     -0.41658560E-06     -0.43089425E-06     -0.16802792E-02     -0.57978866E-02
      20     -0.41845034E-06     -0.43089425E-06     -0.17095472E-02     -0.57978866E-02
      21     -0.41955927E-06     -0.43089425E-06     -0.17371415E-02     -0.57978866E-02
      22     -0.42049353E-06     -0.43089425E-06     -0.17662313E-02     -0.57978866E-02
      23     -0.42153705E-06     -0.43089425E-06     -0.17936815E-02     -0.57978866E-02
      24     -0.42240800E-06     -0.43089425E-06     -0.18193662E-02     -0.57978866E-02
      25     -0.42307924E-06     -0.43089425E-06     -0.18447608E-02     -0.57978866E-02
      26     -0.42379337E-06     -0.43089425E-06     -0.18703909E-02     -0.57978866E-02
      27     -0.42428824E-06     -0.43089425E-06     -0.18969939E-02     -0.57978866E-02
      28     -0.42477872E-06     -0.43089425E-06     -0.19204128E-02     -0.57978866E-02
      29     -0.42514507E-06     -0.43089425E-06     -0.19447986E-02     -0.57978866E-02
      30     -0.42561925E-06     -0.43089425E-06     -0.19676974E-02     -0.57978866E-02
