
 frequency_dependence   1

 band_index     1    50
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  =  6
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 =  0 -1  0  1 -1  0  0  0  1
 mtrx03 = -1  1  0 -1  0  0  0  0  1
 mtrx04 = -1  1  0  0  1  0  0  0  1
 mtrx05 =  1  0  0  1 -1  0  0  0  1
 mtrx06 =  0 -1  0 -1  0  0  0  0  1

       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -71.081964  -71.081964  -44.451563   25.685992  -12.238528  -31.004100  -24.820552  -77.265511  -76.805613  -11.989702  -30.755274  -77.016685  -76.575293    0.925625
   2  -57.163095  -57.163095  -43.217639   28.217055  -13.126061  -28.126645  -24.309071  -60.980669  -59.739239  -12.851377  -27.851961  -60.705985  -59.553879    0.674812
   3  -44.058355  -44.058355  -41.280919   18.813579  -10.582183  -33.049523  -33.012740  -44.095138  -44.088524   -9.475261  -31.942601  -42.988216  -43.180628    0.820199
   4  -44.058355  -44.058355  -41.280919   18.813579  -10.582183  -33.049523  -33.012740  -44.095138  -44.088524   -9.475261  -31.942601  -42.988216  -43.180628    0.820199
   5  -44.057213  -44.057213  -41.280202   18.893271  -10.604463  -32.991393  -33.012913  -44.035694  -44.039631   -9.498866  -31.885797  -42.930098  -43.136321    0.817034
   6  -44.057213  -44.057213  -41.280202   18.893271  -10.604463  -32.991393  -33.012913  -44.035694  -44.039631   -9.498866  -31.885797  -42.930098  -43.136321    0.817034
   7  -44.004551  -44.004551  -41.301634   18.716574  -10.510416  -33.095476  -33.024618  -44.075408  -44.062474   -9.417520  -32.002580  -42.982513  -43.169072    0.817463
   8  -44.004547  -44.004547  -41.301634   18.716574  -10.510416  -33.095476  -33.024618  -44.075404  -44.062470   -9.417520  -32.002580  -42.982508  -43.169068    0.817463
   9  -44.003117  -44.003117  -41.300201   18.783327  -10.528100  -33.044974  -33.025547  -44.022544  -44.018964   -9.436674  -31.953548  -42.931117  -43.128683    0.815703
  10  -44.003112  -44.003112  -41.300201   18.783327  -10.528100  -33.044974  -33.025547  -44.022540  -44.018959   -9.436674  -31.953548  -42.931113  -43.128679    0.815703
  11  -43.986337  -43.986337  -41.293728   18.702284  -10.486126  -33.077569  -33.019774  -44.044132  -44.033308   -9.399193  -31.990637  -42.957199  -43.149948    0.812708
  12  -43.984290  -43.984290  -41.292311   18.730333  -10.498295  -33.060273  -33.022318  -44.022245  -44.015263   -9.412121  -31.974100  -42.936071  -43.128888    0.816053
  13  -35.323050  -35.323050  -34.897354   22.504866  -12.754307  -25.146795  -22.102096  -38.367749  -37.935374  -12.044327  -24.436815  -37.657769  -37.326217    0.857991
  14  -35.146110  -35.146110  -34.873679   22.172888  -12.775370  -25.476162  -22.270518  -38.351754  -37.813592  -12.051784  -24.752576  -37.628168  -37.211482    0.832120
  15  -35.146107  -35.146107  -34.873679   22.172888  -12.775370  -25.476162  -22.270518  -38.351751  -37.813589  -12.051784  -24.752576  -37.628165  -37.211478    0.832120
  16  -31.431522  -31.431522  -36.249398   24.293128  -13.534905  -25.491176  -22.653042  -34.269655  -33.694050  -12.841928  -24.798199  -33.576678  -33.141616    0.797189
  17  -31.080934  -31.080934  -36.378907   24.061544  -13.589982  -25.907345  -22.911277  -34.077001  -33.583567  -12.871603  -25.188966  -33.358622  -32.983501    0.835306
  18  -31.080930  -31.080930  -36.378907   24.061544  -13.589982  -25.907345  -22.911277  -34.076997  -33.583563  -12.871603  -25.188966  -33.358618  -32.983497    0.835306
  19  -11.696242  -11.696242  -25.039123   17.839414   -9.990312  -17.190022  -13.535197  -15.351067  -14.523319   -9.516837  -16.716546  -14.877592  -14.157077    0.773519
  20  -10.974284  -10.974284  -26.530395   17.120213   -9.457341  -18.867524  -14.885743  -14.956064  -14.052424   -8.991770  -18.401952  -14.490493  -13.692510    0.773056
  21  -10.110793  -10.110793  -25.436998   17.282756   -9.929416  -18.083659  -14.349471  -13.844981  -13.049809   -9.424650  -17.578892  -13.340215  -12.652530    0.787056
  22   -9.951715   -9.951715  -25.961462   17.144042   -9.855495  -18.672915  -14.867019  -13.757612  -12.947896   -9.340671  -18.158091  -13.242788  -12.542602    0.787247
  23   -3.286104   -3.286104  -20.585222   14.473304   -9.835182  -15.947099  -12.566759   -6.666444   -6.024696   -9.174392  -15.286310   -6.005655   -5.489355    0.810153
  24   -2.068545   -2.068545  -20.830587   13.906990   -9.504390  -16.427987  -12.895671   -5.600862   -4.951827   -8.838412  -15.762009   -4.934884   -4.408217    0.816258
  25    0.035267    0.035267  -20.744614   14.123065  -10.980352  -17.601901  -14.794193   -2.772441   -2.274926   -9.910421  -16.531970   -1.702510   -1.394583    0.822804
  26    0.035269    0.035269  -20.744614   14.123065  -10.980352  -17.601901  -14.794193   -2.772438   -2.274923   -9.910421  -16.531970   -1.702507   -1.394580    0.822804
  27    0.667219    0.667219  -19.083908   12.716343   -9.345519  -15.713084  -12.298509   -2.747355   -2.163817   -8.637801  -15.005366   -2.039637   -1.577046    0.829104
  28    1.200281    1.200281  -20.488006   13.596212  -11.091961  -17.983755  -15.189869   -1.593605   -1.112751   -9.944851  -16.836646   -0.446496   -0.163070    0.827891
  29    1.200282    1.200282  -20.488006   13.596212  -11.091961  -17.983755  -15.189869   -1.593604   -1.112750   -9.944851  -16.836646   -0.446495   -0.163069    0.827891
  30    1.580731    1.580731  -21.883145   14.833332  -11.872642  -18.922455  -16.016009   -1.325715   -0.811538  -10.723609  -17.773422   -0.176682    0.134221    0.823091
  31    1.580733    1.580733  -21.883145   14.833332  -11.872642  -18.922455  -16.016009   -1.325713   -0.811536  -10.723609  -17.773422   -0.176680    0.134223    0.823091
  32    1.674792    1.674792  -19.492159   12.698184   -9.615879  -16.409854  -12.993087   -1.741975   -1.174548   -8.839235  -15.633210   -0.965332   -0.526883    0.833929
  33    2.546714    2.546714  -21.917612   14.254064  -11.982335  -19.645882  -16.733178   -0.365990    0.133088  -10.740823  -18.404370    0.875521    1.161873    0.828654
  34    2.546716    2.546716  -21.917612   14.254064  -11.982335  -19.645882  -16.733178   -0.365988    0.133091  -10.740823  -18.404370    0.875524    1.161875    0.828654
  35    2.850461    2.850461  -19.131337   12.628440  -10.930976  -17.433874  -14.843747    0.260334    0.697937   -9.828050  -16.330947    1.363261    1.614524    0.831050
  36    3.445131    3.445131  -19.543955   12.095562  -10.565245  -18.013638  -15.480818    0.912311    1.340710   -9.371214  -16.819607    2.106343    2.332784    0.830861
  37    5.710044    5.710044  -10.150879    5.476332  -10.769133  -15.443680  -14.989789    5.256153    5.334274   -9.450493  -14.125040    6.574793    6.425958    0.827886
  38    5.710045    5.710045  -10.150879    5.476332  -10.769133  -15.443680  -14.989789    5.256154    5.334275   -9.450493  -14.125040    6.574794    6.425959    0.827886
  39    5.923106    5.923106  -10.480810    5.512991  -10.587711  -15.555530  -14.985661    5.353238    5.453057   -9.291608  -14.259427    6.649341    6.522132    0.824839
  40    5.923107    5.923107  -10.480810    5.512991  -10.587711  -15.555530  -14.985661    5.353239    5.453058   -9.291608  -14.259427    6.649342    6.522134    0.824839
  41    6.542212    6.542212  -12.538839    5.906806  -10.564604  -17.196637  -16.067662    5.413236    5.606619   -9.307152  -15.939185    6.670688    6.648681    0.828710
  42    6.542212    6.542212  -12.538839    5.906806  -10.564604  -17.196637  -16.067662    5.413237    5.606619   -9.307152  -15.939185    6.670689    6.648682    0.828710
  43    6.737221    6.737221  -12.920236    6.248151  -10.797360  -17.469444  -16.196654    5.464430    5.684813   -9.555096  -16.227180    6.706694    6.711980    0.826851
  44    6.737222    6.737222  -12.920236    6.248151  -10.797360  -17.469444  -16.196654    5.464431    5.684814   -9.555096  -16.227180    6.706695    6.711981    0.826851
  45    7.866696    7.866696   -5.380911    2.640782   -8.060080  -10.800209   -9.639843    6.706330    6.887404   -7.209353   -9.949482    7.557056    7.605375    0.843951
  46    8.231216    8.231216   -1.670142    0.702779   -4.749154   -5.716516   -3.375405    5.890105    6.182471   -4.549626   -5.516988    6.089633    6.357081    0.875117
  47    8.482600    8.482600   -1.964496    0.996836   -5.254359   -6.222019   -4.031470    6.292051    6.575573   -4.938633   -5.906293    6.607777    6.850435    0.870570
